# key  hex      name   (8 9 a d e h t shared with the character art)
.  transparent
0  #0e1a2e  night-sky
1  #2a1a14  shadow
2  #4a3220  soil
3  #7a5a3a  earth
4  #6e6e7a  stone
5  #9a9aa6  light-stone
6  #b8d97a  light-grass
7  #e8f0c8  cream
8  #1a1a2e  near-black
9  #2a2a44  slate
a  #3d3d5c  grey-blue
b  #6e6e96  lavender
c  #f2e6d0  bone
d  #f4f4ff  white
e  #00e5ff  cyan
f  #4aa3df  water
g  #2a6fa8  deep-water
h  #ff2bd6  magenta
i  #f28ab2  pink
j  #c0392b  barn-red
k  #ff8a3d  orange
l  #ffb347  amber
m  #ffe066  yellow
n  #8fd14f  bright-green
o  #4f9a3a  green
p  #2f6b2a  dark-green
q  #ff3b3b  red
r  #8a1c1c  dark-red
s  #5c3a1e  wood
t  #e0c9a6  skin
